,task_id,accuracy,model
0,361110,0.7898,Random Forest
1,361110,0.782,Gradient Boosting
2,361110,0.7784,TabPFNne
3,361110,0.7766,TabPFN
4,361110,0.7754,TabPFN trees
5,361110,0.7708,TabPFN trees 2
6,361110,0.8056,Random Forest
7,361110,0.8086,Gradient Boosting
8,361110,0.8032,TabPFNne
9,361110,0.802,TabPFN
10,361110,0.7958,TabPFN trees
11,361110,0.791,TabPFN trees 2
12,361110,0.783,Random Forest
13,361110,0.7858,Gradient Boosting
14,361110,0.7772,TabPFNne
15,361110,0.7758,TabPFN
16,361110,0.7734,TabPFN trees
17,361110,0.7692,TabPFN trees 2
18,361111,0.5768725361366623,Random Forest
19,361111,0.568988173455979,Gradient Boosting
20,361111,0.5643889618922471,TabPFNne
21,361111,0.5696452036793692,TabPFN
22,361111,0.5597897503285151,TabPFN trees
23,361111,0.5538764783180026,TabPFN trees 2
24,361111,0.5486202365308804,Random Forest
25,361111,0.5630749014454665,Gradient Boosting
26,361111,0.5354796320630749,TabPFNne
27,361111,0.5440210249671484,TabPFN
28,361111,0.5413929040735874,TabPFN trees
29,361111,0.5321944809461235,TabPFN trees 2
30,361111,0.5919842312746386,Random Forest
31,361111,0.5886990801576872,Gradient Boosting
32,361111,0.5900131406044679,TabPFNne
33,361111,0.5854139290407359,TabPFN
34,361111,0.5867279894875165,TabPFN trees
35,361111,0.5683311432325887,TabPFN trees 2
36,361113,0.7806,Random Forest
37,361113,0.7592,Gradient Boosting
38,361113,0.7844,TabPFNne
39,361113,0.7822,TabPFN
40,361113,0.7762,TabPFN trees
41,361113,0.7662,TabPFN trees 2
42,361113,0.7764,Random Forest
43,361113,0.772,Gradient Boosting
44,361113,0.7668,TabPFNne
45,361113,0.7712,TabPFN
46,361113,0.7678,TabPFN trees
47,361113,0.7672,TabPFN trees 2
48,361113,0.7878,Random Forest
49,361113,0.777,Gradient Boosting
50,361113,0.7912,TabPFNne
51,361113,0.7928,TabPFN
52,361113,0.785,TabPFN trees
53,361113,0.7876,TabPFN trees 2
54,361282,0.6386,Random Forest
55,361282,0.6152,Gradient Boosting
56,361282,0.6352,TabPFNne
57,361282,0.6472,TabPFN
58,361282,0.6124,TabPFN trees
59,361282,0.6148,TabPFN trees 2
60,361282,0.6454,Random Forest
61,361282,0.6406,Gradient Boosting
62,361282,0.6302,TabPFNne
63,361282,0.6382,TabPFN
64,361282,0.6324,TabPFN trees
65,361282,0.6264,TabPFN trees 2
66,361282,0.6326,Random Forest
67,361282,0.6226,Gradient Boosting
68,361282,0.6116,TabPFNne
69,361282,0.6242,TabPFN
70,361282,0.617,TabPFN trees
71,361282,0.6242,TabPFN trees 2
72,361283,0.688512241054614,Random Forest
73,361283,0.6934086629001883,Gradient Boosting
74,361283,0.7013182674199623,TabPFNne
75,361283,0.704331450094162,TabPFN
76,361283,0.7107344632768362,TabPFN trees
77,361283,0.7107344632768362,TabPFN trees 2
78,361283,0.7088512241054614,Random Forest
79,361283,0.711864406779661,Gradient Boosting
80,361283,0.6971751412429379,TabPFNne
81,361283,0.7024482109227872,TabPFN
82,361283,0.7013182674199623,TabPFN trees
83,361283,0.7080979284369114,TabPFN trees 2
84,361283,0.7013182674199623,Random Forest
85,361283,0.6926553672316385,Gradient Boosting
86,361283,0.7073446327683616,TabPFNne
87,361283,0.7069679849340866,TabPFN
88,361283,0.6983050847457627,TabPFN trees
89,361283,0.7062146892655368,TabPFN trees 2
90,361285,0.7064,Random Forest
91,361285,0.717,Gradient Boosting
92,361285,0.7192,TabPFNne
93,361285,0.718,TabPFN
94,361285,0.6984,TabPFN trees
95,361285,0.7128,TabPFN trees 2
96,361285,0.7178,Random Forest
97,361285,0.7152,Gradient Boosting
98,361285,0.7122,TabPFNne
99,361285,0.7146,TabPFN
100,361285,0.721,TabPFN trees
101,361285,0.715,TabPFN trees 2
102,361285,0.7254,Random Forest
103,361285,0.723,Gradient Boosting
104,361285,0.7246,TabPFNne
105,361285,0.718,TabPFN
106,361285,0.7266,TabPFN trees
107,361285,0.722,TabPFN trees 2
108,361286,0.6348088531187123,Random Forest
109,361286,0.6790744466800804,Gradient Boosting
110,361286,0.693158953722334,TabPFNne
111,361286,0.6871227364185111,TabPFN
112,361286,0.6750503018108652,TabPFN trees
113,361286,0.670020120724346,TabPFN trees 2
114,361286,0.6096579476861167,Random Forest
115,361286,0.6378269617706237,Gradient Boosting
116,361286,0.6378269617706237,TabPFNne
117,361286,0.6348088531187123,TabPFN
118,361286,0.635814889336016,TabPFN trees
119,361286,0.6267605633802817,TabPFN trees 2
120,361286,0.6187122736418511,Random Forest
121,361286,0.635814889336016,Gradient Boosting
122,361286,0.676056338028169,TabPFNne
123,361286,0.6770623742454729,TabPFN
124,361286,0.6629778672032193,TabPFN trees
125,361286,0.6790744466800804,TabPFN trees 2
